Latitude, Longitude, Date and Time, Heading (Returns heading in degrees * 10^-5), Ground Speed (mm/s), and Altitude (Returns the current altitude in mm above mean sea level).
42.3496760,-71.1066758,2023-2-27 11:51:41,19518702,926,-2736
42.3496479,-71.1066826,2023-2-27 11:51:43,19922912,1211,-1825
42.3496146,-71.1066947,2023-2-27 11:51:46,18411456,1328,-1559
42.3496051,-71.1066864,2023-2-27 11:51:48,15509464,668,-4070
42.3495761,-71.1066908,2023-2-27 11:51:51,18996880,714,-5467
42.3495586,-71.1066995,2023-2-27 11:51:53,20163624,1050,-6555
42.3495151,-71.1067123,2023-2-27 11:51:56,18899514,1411,-5018
42.3494830,-71.1067128,2023-2-27 11:51:58,18119066,1606,-3722
42.3494377,-71.1067164,2023-2-27 11:52:1,18211564,1569,-2073
42.3494084,-71.1067117,2023-2-27 11:52:3,18041866,984,-830
42.3493701,-71.1067207,2023-2-27 11:52:6,20324988,1201,259
42.3493429,-71.1067233,2023-2-27 11:52:8,18734322,1009,1385
42.3493242,-71.1067169,2023-2-27 11:52:11,18317470,398,1976
